HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
Neo,2014,m
Timi,2000,m
Cador,2003,m
Pitschi,2011,m
Zara,2008,w
Orsan-Balou,2012,m
Gini,2005,w
Rocky,2013,w
Bonita,2010,w
Rio,2007,m
Chorizo,2004,m
Olga,2007,w
Laura,2011,w
Xini,2000,w
Ivy,2013,w
Schako,2005,m
Rocky,2010,m
Llorsa,2005,w
Ingo von Burg Schwärtzenberg,2004,m
Athos,2011,m
Balu (Orion),2014,m
Gipsy,2013,w
Chinina,2002,w
Falco,2010,m
Nala,2012,w
Giada,2010,w
Kassim,2004,m
Shiva,2014,w
Nina,2011,w
Meggi,2015,w
Perla,2002,w
Don,2012,m
Aurora vom Wyhental,2013,w
Merlin,2010,m
Myrtha,2011,w
Dream Boy,2014,m
Calito,2008,m
Lea,2011,w
Argo,2013,m
Milou,2006,w
Lucy,2014,w
Dasenk,2008,w
Atreju (Anpaytoo),2008,m
Speedy,2013,m
Pupetta,2010,w
Kitty,1999,w
Wolf,1999,m
Nola,2014,w
Amira,2013,w
Paris,2011,w
Ruby,2013,m
Lena,2008,w
Simba,2001,m
Irma,2013,w
Emely (Daisy Mae),2013,w
"""Bobby"" Lord Sinclair",2009,m
Ivy,2012,w
Kyra,2013,w
Lucky,2010,m
Chester,2014,m
Mabel,2010,w
Berdus,2004,m
Goma,2006,w
Sheela,2004,w
Coco-Paco,2010,m
Chicco,2008,m
Jerry,2013,m
Fritz,2012,m
Theia,2004,w
Sina,2011,w
Wilma,2004,w
Maggie,2005,w
Linda,2004,w
Pascha,2012,w
Emil Albert,2008,m
Roy,2009,m
Addison,2009,w
Chikka,2009,w
Aaliyah,2011,w
Tina,2015,w
Chaplin,2014,m
Cirillo,2007,m
Dona (Donatella d'Abundo),2008,w
Lucky,2010,m
Scotch (Megan),2005,m
Spelvin,2006,m
Rex,2010,m
Dea,2009,w
True,2004,w
Lucy,2012,w
Forge,2007,m
Charly,2004,m
Frodo,2003,m
Dips de la Pierravoir,2009,m
Bobi,2012,m
Ginger (Nicky),2006,w
Derrick,2014,m
Luba,2008,w
Macchia,2008,m
Dino,2001,m
Bänz (Eros),2010,m
Bida,2008,w
Janosch,2002,m
Definitley Maybe Abs. Charming,2015,m
Igor,2009,m
Jester (Jarod),2007,m
Picasso,2004,m
Kolja,2010,m
Kuma,2005,w
Ueli (Rocky),2008,m
Joy-Roxane,2012,w
Jerry,2013,m
Nayeli,2012,w
Timmy,2002,m
Pablo,2002,m
Fallone,2005,w
Henry,2002,m
Hobbes (Ilan),2015,m
Luna,2004,w
Pero,2010,m
Baika (Bossa),2006,w
Mara,2007,w
Berri,2010,m
Grischa,2005,w
Serafina,2002,w
Shiva,2006,w
Benji,2011,m
Wuschel,2010,w
Speed,2013,m
Abraxa,2007,w
Dost,2010,m
Miro,2013,m
Yax,2001,m
Lucy,2005,w
Enja,2011,w
Rossi,2009,w
Harmonia,2007,w
Daisy,2000,w
Veerle,2014,w
Lucky,2015,m
Gismo Aton v. Graf Toggenburg,2014,m
Lara,2007,w
Ayusha vom Maieriesli,2013,w
Kyra,2005,w
Elsa,2012,w
Dolce,2008,w
Lia (Uliana-Lia),2014,w
Nina,2000,w
Ciccio,2005,m
Pipa,2013,w
Timmy,2009,m
Vitalis,2011,m
Timan,2006,m
Corona,2007,w
Ayla,2011,w
Toto,2003,w
Yoko,2011,m
Bady,2015,m
Xenia,2005,w
Lucky,2002,m
Faolan,2014,m
Dusky,2010,m
Pita,2005,w
Daisy,2004,w
Toddy,2010,m
Chicco,2009,m
Meyga,2007,w
Blanco,2006,m
Kira,2015,w
Busik,2012,m
Awitto,2001,m
Zsebi,2013,m
C'est Ci Bonne,2009,w
Benji,2013,m
Leo,2015,m
Yankee,2007,m
Bianca,2012,w
Biny,2005,m
Oskar,2008,m
Stella,2007,w
Chico,2009,m
Choochoo,2009,w
Dino,2011,m
Daisy  Desirée Rainerschlössel,2011,w
Lee,2006,w
Roky,2013,m
Perla,2011,w
Chibi,2010,w
Muffin,2010,w
LCK' Sky is the Limit aka Doup,2011,m
Lila,2012,w
Jodie (Queen vom Maiengrün),2012,w
Troya,2012,w
Alba,2007,w
Rocky,2001,m
Romeo,2012,m
Ludwig,2005,m
Gucci,2008,w
Luna,2005,w
Clark,2008,m
Xoa,2006,w
Paco,2007,m
Faruk,2009,m
Dani,2000,m
Mont Blanc,2010,m
Key,2003,m
Kay von der Geerenecke,2013,m
Milton,2005,m
Kiro,2012,m
Deisy,2000,w
Vasco,2001,m
Arni,2012,m
Lady,2006,w
Giorgio,2004,m
Lhassa,2004,w
Mia,2013,w
Platon,2011,m
Palma,2013,w
Mangana,2009,w
Shortie,2004,m
Xenia,2010,w
Bingo,2003,m
Luigi,2004,m
Jenny,2011,w
Basti,2007,m
Kato,2013,m
Chelsea,2010,w
Minik,2012,m
Anya,2004,w
Sadie,2004,w
Inouk,2012,m
Kaban,2014,m
Lino (Nan de Sèvery),2002,m
Sandy,2006,w
Joy,2007,w
Adela,2004,w
Geronimo (Yoy),2009,m
Angel,2006,w
Coline,2002,w
Blacky,2011,m
Kajo,2005,m
Ares,2011,m
Foxy,2008,w
Fanta,2010,m
Roxy,2004,w
Areta,2004,w
Joya,2008,w
Ginnie,2012,w
Gaia,2010,w
Eros,2014,m
Farina,2014,w
Sirius (Jonny's Sirius v. ad.),2013,m
Vasco,2010,m
Frieda,2003,w
Minnie,1999,w
Rasbutin,2006,m
Jack,2001,m
Betta,2012,w
Balu,2007,m
Daisy vom Hochmoor,2010,w
Enapay,2008,m
Fly,2006,m
Chuccho,2001,m
Ferdinand,2013,m
Tchin-Tchin,2012,m
Marla,2009,w
Dino,2008,m
Kila,2009,m
Mira,2010,w
Onur,2013,m
Arthur,2009,m
Jumaira's Pensy,2010,w
Smile,2012,m
Harry,2006,m
Sara (Camilla),2010,w
Uso,2012,m
John Wayne,2008,m
Seppli,2004,m
Pepino,2012,m
Queen Kaja of Buffalo Creek,2009,w
Lulu (ehemals Schweppes),2011,w
Sinda,2004,w
Leona,2012,w
Tschita,2013,w
Sweety Liska,2009,w
Martita,2006,w
Cesar,2012,m
Eve-Chloe,2011,w
Jamie,2006,w
Boomer,2014,m
Lotti,2008,w
Gina (Bella),2014,w
Punta,2003,w
Nanook,1998,m
Lulu (White Paw),2008,w
Charly,2012,m
Anna,2013,w
Gin,2007,w
Chibi-Hime of Isamáshii,2006,w
Jeames,2014,m
Jazz,2004,w
Tony,2011,m
Raya,2007,w
Arla,2013,w
Sella,2011,w
Diba,2011,w
Ivar,2004,m
Chico,2004,m
Daisy,2003,w
Thunja,2003,w
Hazel Maggie,2011,w
Zeila,2008,w
Romino,2014,m
Velvet (Viva),2007,w
Pearl,2013,w
Lump,2009,m
Tata,2012,w
Miigo,2010,w
Cinthia,2010,w
Nala,2012,w
Chica,2014,w
Minu,2012,m
Yma,2005,w
Boneca,2014,w
Lola,2009,w
Pongo,2010,m
Suki,2010,w
Jolie (I am Incredible),2009,w
Dika,2011,w
Aaran vom Blauort,2010,m
Snoopy,2013,m
Jerry,2004,m
Tigre,2002,m
Rica,2005,w
Sascha,2006,m
Lotta,2010,w
Scarvi,2014,m
Jill,2013,w
Leo,2004,m
Liro,2012,m
Lara,2005,w
Mikky,2004,m
Nuky,2014,m
Calimero,2010,m
Jana,2011,w
Ari,2006,w
Kaida,2002,w
lamba-Julia,2012,w
Najlah,2010,w
Boulie,2011,w
"King ""Charlie""",2003,m
Chilli,2012,m
Mimi,2001,w
Baxy,2013,m
Lapo,2003,m
Daitan,2014,m
Yoshi,2002,m
Saqui,2012,w
Arthur,2005,m
Pat,2012,m
Luke,2013,m
Lola,2012,w
Diego,2012,m
Artu,2012,m
Finch Hatton Benetton,2009,m
Rocky,2014,m
Pipa,2014,w
Tomi,2015,m
Baschi,2006,m
Herbert,2004,m
Duma,2013,w
Finia von Burg Schwärtzenberg,2012,w
Livi,2013,w
Gino,2014,m
Henry Tudo,2010,m
Lola,2004,w
Luna,2003,w
Jessy,2010,w
Lulu,2011,w
Lhasa,2010,m
Queen,2012,w
Nany,2011,w
Shailia,2008,w
Aika,2004,w
Leila,2002,w
Kenji Go Hanabi,2011,m
Jack,2004,m
Scrappy,2008,w
Monti,2014,m
Lilu,2004,w
Sampha,2014,m
Queeny,2009,w
Taka (Rubin Hachiko),2011,m
Buddy,2009,m
Lady,2001,w
Merkur,2007,m
Winston,2011,m
Jossie,1998,w
Mäx,2005,m
Kiara,2007,w
M for Mississippi,2009,w
Stella,2006,w
Ronny,2005,m
Ocean (Kaleb),2013,m
Sanny,2011,w
Lacky,2009,m
Nemo,2010,m
Bentley,2006,m
Beti,2006,w
Grace (Ginerva),2013,w
Elvis,2011,m
Briciola,2002,w
Arlo,2008,m
Ceca,2006,w
Gino,2012,m
Spazzolina,2002,w
Joya,2007,w
Coco,2007,w
Norka,2002,w
Freya,2014,w
Alec,2003,m
Wilma,2009,w
Momo,2004,m
Tami,2002,m
Carrie,2011,w
Bizou,2012,w
Medor v. Moosmüli,2012,m
Maxime,2009,m
Vitoria,2015,w
Joka (Luzi),2007,w
Huxley,2011,m
Cannelle,2005,w
Cäcilia vom Georgisberg,2012,w
Paco,2013,m
Daska,2010,w
Diego Rivera,2009,m
Casper,2009,m
Sira,2010,w
Faye,2009,w
Mik,1998,m
Angie,1999,w
Taro,2004,m
Varro,2008,m
Lee,2002,m
Niki (Hercule),2004,m
Maylo,2007,m
Kim,2008,w
Siro,2001,m
Finya,2003,w
Nina,2012,w
Dana,2008,w
Janna,2007,w
Nicky,2011,w
Nimrob,2004,m
Simba,2013,m
Nelson,2011,m
Miro,2009,m
Brandy,2000,m
Poldi,2005,m
Lindsay,2009,w
Julon (Jasper-Julon Büffelbo.),2012,m
Molly,2008,w
Buddy,2013,m
Mark,2014,m
Zorro,2006,m
Verdy,2014,m
Pepito,2005,m
Gaia,2015,w
Shana,2004,w
Diva,2008,w
Speedy,2005,m
Rave (Noel),2008,m
Luci,2007,w
Meti,2012,w
Paul,2008,m
Quinn,2014,m
Toro,2003,m
Mickey,2004,m
Wihtney,2008,w
Spilla,2002,w
Kyra,2004,w
Luke,2015,m
Tahona von Mahalanme,2012,w
Linda,2005,w
Boris,2012,m
Stella,2010,w
Kyra,2009,w
Capi,2007,w
Ellie,2013,w
Estrella,2011,w
Duran vom Wolfsstern,2010,m
Liv,2011,w
Jaro (Jérome),2010,m
Diamond,2013,w
Benito,2012,m
Lubaya (Ndoto Yangu Adia),2011,w
Quincy,2002,m
Rex,2001,m
Zippo,2005,m
Bello Erole,2007,m
Cliff,2001,m
Fiasco,2006,m
Bekas,2011,m
Sam,2008,m
Baija,2011,w
Nualan,2009,m
Tobby,2013,m
Nahla Lucy,2011,w
Kora,2003,w
Zunca,2009,w
Jouly,2001,w
Beni,2003,m
Piku,2009,m
Omar,2002,m
Momo,2004,m
Sir Collin-Flash,2010,m
Riki,2013,m
Lucy,2015,w
Meite,2012,w
Lhakyi,2005,m
Cookie (Carla),2012,w
Murphy,2005,m
Neo,2009,m
Scuna el Kaya,2012,w
Mazel,2009,w
Sunny,2014,w
Dusja,2014,w
Top Water Big Ben,2011,m
Ewii (Pickwick Evita),2009,w
Ray,2010,m
Chewy,2013,w
Luna,2013,w
Luna,2008,w
Yoda,2003,m
Jin,2014,m
Ruby,2008,w
Rosalie,2008,w
Prinz,2013,m
Laila (Juwel),2006,w
Princesa,2011,w
Eloa,2014,w
Tricky,1999,w
Somali,2008,w
Aiko,2003,m
Chico,2007,m
Chiara,2004,w
Paris,2010,w
Kory,2014,m
Terry,2012,m
Milky,2010,w
Sheena (Scarlett),2004,w
Lucky,2004,m
Osco,2007,m
Gioia,2000,w
Delia,2009,w
Spike,2011,m
Samba,2006,w
Gina,2003,w
Larissa,2007,w
Joe,2006,m
Bella,2010,w
Snoopy,2014,m
Saskia,2008,w
Aischa,2003,w
Capo v. Studerwilen,2009,m
Jay Jay (Aladin Rasselbande),2011,m
Luna (Fleur),2002,w
Amy,2008,w
Elvis,2004,m
Paco,2010,m
Wicki Custom Smoking Gun,2014,w
Maxli,2005,m
James,2012,m
Hero,2010,m
Filou-Sid,2010,m
Oscar,2013,m
Ella,2010,w
Clooney,2008,m
Darwin,2009,m
Joyce (vom Lacheren),2009,w
Délos,2003,m
Mindy,1998,w
Leonardo,2004,m
Chili,2005,w
Mascha,2008,w
Maelis,2014,w
Henry (Dalmor),2006,m
Beniy (Tofik),2009,m
Cacau (Chubby),2012,m
Boni,2007,w
Lussy,2004,w
Spike,2011,m
Blue (Sola of True Eyes),2013,w
Holly,2008,w
Patmos,2008,m
Tiger Lily v. Winikon,2007,w
Mineo,2011,m
Luna,2010,w
unbekannt,2011,m
Toro,2007,m
Coco,2013,m
Anjo,2014,m
Lucie,2009,w
Cody (Captain Luka High Hopes),2006,m
Paco,2009,m
Tami,2012,w
Ilai,2014,m
Remus,2004,m
Giuggiola,2002,w
Royce,2013,m
Sgilti,2003,m
Darudombi Gyémànt Athos,2003,m
Lupa,2014,w
Lara,2014,w
Milo,2014,m
Zeca,2012,w
Sonic,2004,m
Orissa,2002,w
Julie,2010,w
Finney,2008,w
Struppi (Cliford),2007,m
Rambo,2005,m
Jimmy,2013,m
Lotta,2007,w
Nox von der Wolfsgrube,2009,m
Patchoulli de Soleure,2011,w
Darek,2011,m
Rufo,2014,m
Eros,2013,m
Giuli (Asami),2014,w
Siro,2010,m
Louis,2012,m
Otto,2013,m
Djuni,2010,w
Fina,2014,w
Pepita,2013,w
Pippin,2015,m
Duke,2010,m
Rubina (Lesley),2011,w
Omao Obama v. Fargerit,2012,m
Lisa,2000,w
Tenya,2010,w
Blacky,2013,m
Rocky,2011,m
Djamila,2014,w
Gioia,2004,w
Sailor,2004,m
Roux,2009,w
Bigna,2000,w
Pitucha,2014,w
Sakari Amici per Sempre,2011,m
Isom,2006,w
Gus (Whisky du Dourd),2011,m
Amigo,2000,m
Teddi,2008,m
Belka,2014,w
Chelsey,2010,w
Chocolate,2014,m
Piccola,2014,w
Bobby,2014,m
Eloy,2012,m
Sambi,2009,m
Luna,2004,w
Jennifer,2010,w
Ginger,2009,w
Jazz,2009,m
Toby,2007,m
U'Ciaro,2004,m
Theodor,2006,m
Wiley,2008,m
Stella,2008,w
Diabolo,2005,m
Coco,2008,w
Chester,2012,m
Nora (Eleonora vom Zwärgehüsli,2008,w
Piri,2012,w
Muk (Gringo),2011,m
Bridget,2003,w
Nena,2010,w
Tammy,2003,w
Snoppy,1998,m
Kikas,2003,w
Jimmy,2009,w
Lupus,2006,m
Arco,2004,m
Luna (Josefine),2014,w
Lizzy,2008,w
Nico,2005,m
Nika,2003,w
Mo,2014,m
Fredi (Know How),2007,m
Rolex (Zar vom Alpenland),2014,m
Mia,2008,w
Espo,2003,m
Norman,2008,m
Speedy,2009,m
Speedy,2009,m
Iwa des seigneurs d'orient,2013,w
Helia vom Drumlin Wolf,2011,w
Nara,2005,w
Gromit,2003,m
Anouk vom Leukergrund,2012,w
Baku,2010,m
Camino,2014,m
Missy,2010,w
Orca,2007,w
Seti,2002,w
Dunja von Auenland,2012,w
Sira,2013,w
Yuma,2012,m
Fuchur,2003,m
Sila,2009,w
Persik,2008,w
Amok,2004,m
Alma (Sanel),2012,w
Schiegeli,2008,w
Tina,2008,w
Chiara,2007,w
Betty,2012,w
Tuffo,2005,m
Logan,2014,m
Struppi (Bajka),2010,w
Ira,8,w
Amor,2005,m
Jala,2009,w
Nugi,2005,m
Lady,2007,w
Opal Chloé,2013,w
Gina,2014,w
Beni,2005,w
Blacky,2012,m
Domino,2013,m
Ofelia,2007,w
Lulu,2009,w
Oskar,1998,m
Bär (Tumainia Charming Baer),2012,m
Yanoush vom Hause Amorina,2011,m
Max,2002,m
Miranda,2011,w
Janka,2011,w
Curly,2001,w
Chester,2003,m
Tibbie,2012,m
Kira,2002,w
Neo,2014,m
Tany,2010,w
Yuma (Darca Yuma),2008,w
Mira (Griccia),2012,w
Amira,2009,w
Dada,2009,w
Nanook (Timi vom Engelacher),2009,m
Sunchi,2007,w
Manalua,2012,m
Nerina,2008,w
Sunny,2008,w
Buster,2004,m
Joya,2001,w
Xenia,2008,w
Filou,2010,m
Happy,2005,w
Lunis,2004,m
Mowgly,2001,w
Bhanu,2004,m
Nicki,2006,m
Ivo,2000,m
Ben,2002,m
Laisha,2003,w
Curro,2007,m
Ayk,2004,m
Fey-Felice,2013,w
Ayla,2010,w
Lucy,2003,w
Jnaara,2000,w
Bobi,2012,m
Holly,2008,w
Zappa II,2008,m
Atos,2011,m
Chicca,2009,w
Oliver,2003,m
Abenaki Cayla,2014,w
Achat,2005,m
Henrietta,2006,w
Quincy,2012,m
Toffee,2013,m
Quinto,2008,m
Timmi,2005,m
Inka,2004,w
Saskia,2000,w
Chanelle,2011,w
Una Cara,2012,w
Celaya,2013,w
Cindy,2013,w
Oona,2000,w
Balz 2,2003,m
"Everest First Sir John, Bonito",2010,m
Nelia,2006,w
Harry,2005,m
Chiara,2007,w
Nica,2009,w
Teddy,2009,m
Bobby,2002,m
Lumpi,2001,m
Madurra,2012,w
Luna,2007,w
Bruce,2007,m
Jack,2011,m
Amber,2013,w
Basil,2009,m
